project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','onCreate','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','onViewCreated','3','3',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','updateHeader','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','shareIssue','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesPagerAdapter.java','False','0','True','IssuesPagerAdapter','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesPagerAdapter.java','False','0','True','getItem','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','onCreate','0','13',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','configurePager','13','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','onPrepareOptionsMenu','6','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','checkCollaboratorStatus','1','0',0,0,0,0,0,0,0,0,0,0,0,0
